mode: set
kollab/api/cmd/server/main.go:40.21,41.117 1 0
kollab/api/internal/attachment/service.go:88.23,89.11 1 0
kollab/api/internal/attachment/service.go:90.27,90.27 0 0
kollab/api/internal/attachment/service.go:91.12,92.96 1 0
kollab/api/internal/attachment/service.go:97.2,97.17 1 1
kollab/api/internal/attachment/service.go:100.115,102.16 2 1
kollab/api/internal/attachment/service.go:102.16,104.3 1 0
kollab/api/internal/attachment/service.go:106.2,107.16 2 1
kollab/api/internal/attachment/service.go:107.16,109.3 1 0
kollab/api/internal/attachment/service.go:111.2,111.23 1 1
kollab/api/internal/attachment/service.go:114.118,116.16 2 1
kollab/api/internal/attachment/service.go:116.16,118.3 1 0
kollab/api/internal/attachment/service.go:121.2,121.99 1 1
kollab/api/internal/attachment/service.go:121.99,123.17 2 0
kollab/api/internal/attachment/service.go:123.17,125.4 1 0
kollab/api/internal/attachment/service.go:126.3,126.24 1 0
kollab/api/internal/attachment/service.go:130.2,131.16 2 1
kollab/api/internal/attachment/service.go:131.16,136.23 3 0
kollab/api/internal/attachment/service.go:136.23,146.4 4 0
kollab/api/internal/attachment/service.go:147.3,147.75 1 0
kollab/api/internal/attachment/service.go:150.2,150.31 1 1
kollab/api/internal/attachment/service.go:150.31,152.3 1 0
kollab/api/internal/attachment/service.go:153.2,153.34 1 1
kollab/api/internal/attachment/service.go:153.34,155.3 1 0
kollab/api/internal/attachment/service.go:158.2,159.29 2 1
kollab/api/internal/attachment/service.go:159.29,161.3 1 0
kollab/api/internal/attachment/service.go:163.2,164.16 2 1
kollab/api/internal/attachment/service.go:164.16,166.3 1 0
kollab/api/internal/attachment/service.go:168.2,168.26 1 1
kollab/api/internal/attachment/service.go:171.110,173.2 1 1
kollab/api/internal/attachment/service.go:175.84,177.16 2 1
kollab/api/internal/attachment/service.go:177.16,179.3 1 0
kollab/api/internal/attachment/service.go:182.2,189.31 4 1
kollab/api/internal/attachment/service.go:193.109,195.16 2 1
kollab/api/internal/attachment/service.go:195.16,198.17 2 0
kollab/api/internal/attachment/service.go:198.17,200.4 1 0
kollab/api/internal/attachment/service.go:202.3,206.32 4 0
kollab/api/internal/attachment/service.go:206.32,211.13 4 0
kollab/api/internal/attachment/service.go:211.13,215.5 3 0
kollab/api/internal/attachment/service.go:217.4,226.24 3 0
kollab/api/internal/attachment/service.go:226.24,227.12 1 0
kollab/api/internal/attachment/service.go:228.24,228.24 0 0
kollab/api/internal/attachment/service.go:229.13,229.13 0 0
kollab/api/internal/attachment/service.go:232.4,232.20 1 0
kollab/api/internal/attachment/service.go:234.3,234.70 1 0
kollab/api/internal/attachment/service.go:236.2,236.20 1 1
kollab/api/internal/attachment/service.go:240.90,242.16 2 1
kollab/api/internal/attachment/service.go:242.16,244.3 1 0
kollab/api/internal/attachment/service.go:246.2,252.60 2 1
kollab/api/internal/attachment/service.go:252.60,254.3 1 0
kollab/api/internal/attachment/service.go:256.2,256.9 1 1
kollab/api/internal/attachment/service.go:257.21,257.21 0 1
kollab/api/internal/attachment/service.go:258.10,259.55 1 0
kollab/api/internal/attachment/service.go:261.2,261.12 1 1
kollab/api/internal/attachment/service.go:265.117,268.16 3 1
kollab/api/internal/attachment/service.go:268.16,270.3 1 0
kollab/api/internal/attachment/service.go:272.2,273.28 2 1
kollab/api/internal/attachment/service.go:276.42,278.26 2 1
kollab/api/internal/attachment/service.go:278.26,280.3 1 1
kollab/api/internal/attachment/service.go:283.76,284.82 1 1
kollab/api/internal/attachment/service.go:284.82,294.3 2 1
kollab/api/internal/attachment/service.go:296.2,297.16 2 1
kollab/api/internal/attachment/service.go:297.16,300.3 2 0
kollab/api/internal/attachment/service.go:303.2,313.16 6 1
kollab/api/internal/attachment/service.go:313.16,316.3 2 0
kollab/api/internal/attachment/service.go:318.2,324.55 5 0
kollab/api/internal/attachment/service.go:324.55,326.3 1 0
kollab/api/internal/attachment/service.go:326.8,326.61 1 0
kollab/api/internal/attachment/service.go:326.61,328.3 1 0
kollab/api/internal/attachment/service.go:331.2,331.44 1 0
kollab/api/internal/attachment/service.go:334.85,336.23 2 1
kollab/api/internal/attachment/service.go:336.23,338.3 1 1
kollab/api/internal/attachment/service.go:340.2,340.38 1 1
kollab/api/internal/attachment/service.go:341.12,347.4 2 0
kollab/api/internal/attachment/service.go:348.15,354.4 2 0
kollab/api/internal/attachment/service.go:355.10,357.21 2 1
kollab/api/internal/attachment/service.go:357.21,359.4 1 1
kollab/api/internal/attachment/service.go:362.3,362.52 1 1
kollab/api/internal/attachment/service.go:362.52,364.4 1 0
kollab/api/internal/attachment/service.go:366.3,370.4 2 1
kollab/api/internal/attachment/service.go:374.41,377.2 2 1
kollab/api/internal/attachment/service.go:379.37,382.2 2 1
kollab/api/internal/attachment/service.go:384.55,386.13 2 1
kollab/api/internal/attachment/service.go:387.23,388.21 1 0
kollab/api/internal/attachment/service.go:389.14,390.20 1 0
kollab/api/internal/attachment/service.go:391.13,392.34 1 0
kollab/api/internal/attachment/service.go:393.14,394.21 1 0
kollab/api/internal/attachment/service.go:395.23,396.22 1 0
kollab/api/internal/attachment/service.go:397.14,398.21 1 0
kollab/api/internal/attachment/service.go:399.14,400.25 1 0
kollab/api/internal/attachment/service.go:401.14,402.27 1 0
kollab/api/internal/attachment/service.go:403.10,404.36 1 1
kollab/api/internal/attachment/service.go:408.96,410.2 1 0
kollab/api/internal/attachment/service.go:412.132,414.2 1 0
kollab/api/internal/comment/repository.go:16.64,20.2 1 0
kollab/api/internal/comment/repository.go:22.115,27.31 4 0
kollab/api/internal/comment/repository.go:27.31,28.28 1 0
kollab/api/internal/comment/repository.go:28.28,31.4 2 0
kollab/api/internal/comment/repository.go:33.2,33.20 1 0
kollab/api/internal/comment/repository.go:36.102,41.9 4 0
kollab/api/internal/comment/repository.go:41.9,43.3 1 0
kollab/api/internal/comment/repository.go:44.2,45.17 2 0
kollab/api/internal/comment/repository.go:48.96,54.2 4 0
kollab/api/internal/comment/repository.go:56.96,60.42 3 0
kollab/api/internal/comment/repository.go:60.42,62.3 1 0
kollab/api/internal/comment/repository.go:63.2,64.12 2 0
kollab/api/internal/comment/repository.go:67.82,71.34 3 0
kollab/api/internal/comment/repository.go:71.34,73.3 1 0
kollab/api/internal/comment/repository.go:74.2,75.12 2 0
kollab/api/internal/comment/service.go:18.75,22.2 1 0
kollab/api/internal/comment/service.go:24.107,26.2 1 0
kollab/api/internal/comment/service.go:28.181,30.24 2 0
kollab/api/internal/comment/service.go:30.24,32.3 1 0
kollab/api/internal/comment/service.go:34.2,34.40 1 0
kollab/api/internal/comment/service.go:34.40,36.17 2 0
kollab/api/internal/comment/service.go:36.17,38.4 1 0
kollab/api/internal/comment/service.go:39.3,39.33 1 0
kollab/api/internal/comment/service.go:39.33,41.4 1 0
kollab/api/internal/comment/service.go:42.8,44.3 1 0
kollab/api/internal/comment/service.go:46.2,59.52 3 0
kollab/api/internal/comment/service.go:59.52,61.3 1 0
kollab/api/internal/comment/service.go:62.2,62.21 1 0
kollab/api/internal/comment/service.go:65.118,67.24 2 0
kollab/api/internal/comment/service.go:67.24,69.3 1 0
kollab/api/internal/comment/service.go:71.2,72.16 2 0
kollab/api/internal/comment/service.go:72.16,74.3 1 0
kollab/api/internal/comment/service.go:76.2,76.33 1 0
kollab/api/internal/comment/service.go:76.33,78.3 1 0
kollab/api/internal/comment/service.go:80.2,83.52 3 0
kollab/api/internal/comment/service.go:83.52,85.3 1 0
kollab/api/internal/comment/service.go:86.2,86.21 1 0
kollab/api/internal/comment/service.go:89.90,91.16 2 0
kollab/api/internal/comment/service.go:91.16,93.3 1 0
kollab/api/internal/comment/service.go:95.2,95.33 1 0
kollab/api/internal/comment/service.go:95.33,97.3 1 0
kollab/api/internal/comment/service.go:99.2,99.31 1 0
kollab/api/internal/document/exporter.go:131.69,133.46 2 0
kollab/api/internal/document/exporter.go:133.46,134.68 1 0
kollab/api/internal/document/exporter.go:134.68,146.4 1 0
kollab/api/internal/document/exporter.go:147.8,149.3 1 0
kollab/api/internal/document/exporter.go:151.2,320.21 4 0
kollab/api/internal/document/exporter.go:323.38,326.16 2 0
kollab/api/internal/document/exporter.go:327.13,328.35 1 0
kollab/api/internal/document/exporter.go:328.35,330.4 1 0
kollab/api/internal/document/exporter.go:331.19,333.35 2 0
kollab/api/internal/document/exporter.go:333.35,335.4 1 0
kollab/api/internal/document/exporter.go:336.3,336.27 1 0
kollab/api/internal/document/exporter.go:337.17,339.51 2 0
kollab/api/internal/document/exporter.go:339.51,341.4 1 0
kollab/api/internal/document/exporter.go:341.9,341.54 1 0
kollab/api/internal/document/exporter.go:341.54,343.4 1 0
kollab/api/internal/document/exporter.go:344.3,344.29 1 0
kollab/api/internal/document/exporter.go:344.29,346.4 1 0
kollab/api/internal/document/exporter.go:347.3,348.35 2 0
kollab/api/internal/document/exporter.go:348.35,350.4 1 0
kollab/api/internal/document/exporter.go:351.3,351.38 1 0
kollab/api/internal/document/exporter.go:352.14,356.32 3 0
kollab/api/internal/document/exporter.go:356.32,357.21 1 0
kollab/api/internal/document/exporter.go:358.16,360.39 2 0
kollab/api/internal/document/exporter.go:361.18,363.35 2 0
kollab/api/internal/document/exporter.go:364.18,366.34 2 0
kollab/api/internal/document/exporter.go:367.21,369.34 2 0
kollab/api/internal/document/exporter.go:370.16,372.37 2 0
kollab/api/internal/document/exporter.go:373.16,375.55 2 0
kollab/api/internal/document/exporter.go:375.55,377.6 1 0
kollab/api/internal/document/exporter.go:378.5,379.34 2 0
kollab/api/internal/document/exporter.go:382.3,384.37 3 0
kollab/api/internal/document/exporter.go:385.20,387.35 2 0
kollab/api/internal/document/exporter.go:387.35,389.4 1 0
kollab/api/internal/document/exporter.go:390.3,390.28 1 0
kollab/api/internal/document/exporter.go:391.21,393.35 2 0
kollab/api/internal/document/exporter.go:393.35,395.4 1 0
kollab/api/internal/document/exporter.go:396.3,396.28 1 0
kollab/api/internal/document/exporter.go:397.18,399.35 2 0
kollab/api/internal/document/exporter.go:399.35,401.4 1 0
kollab/api/internal/document/exporter.go:402.3,402.28 1 0
kollab/api/internal/document/exporter.go:403.18,405.35 2 0
kollab/api/internal/document/exporter.go:405.35,407.4 1 0
kollab/api/internal/document/exporter.go:408.3,408.28 1 0
kollab/api/internal/document/exporter.go:409.18,411.50 2 0
kollab/api/internal/document/exporter.go:411.50,413.4 1 0
kollab/api/internal/document/exporter.go:414.3,415.14 2 0
kollab/api/internal/document/exporter.go:415.14,417.4 1 0
kollab/api/internal/document/exporter.go:418.3,421.35 4 0
kollab/api/internal/document/exporter.go:421.35,423.4 1 0
kollab/api/internal/document/exporter.go:424.3,424.34 1 0
kollab/api/internal/document/exporter.go:425.19,427.35 2 0
kollab/api/internal/document/exporter.go:427.35,429.4 1 0
kollab/api/internal/document/exporter.go:430.3,430.36 1 0
kollab/api/internal/document/exporter.go:431.15,433.35 2 0
kollab/api/internal/document/exporter.go:433.35,435.4 1 0
kollab/api/internal/document/exporter.go:436.3,436.31 1 0
kollab/api/internal/document/exporter.go:437.18,439.35 2 0
kollab/api/internal/document/exporter.go:439.35,441.4 1 0
kollab/api/internal/document/exporter.go:442.3,442.28 1 0
kollab/api/internal/document/exporter.go:443.21,445.35 2 0
kollab/api/internal/document/exporter.go:445.35,447.4 1 0
kollab/api/internal/document/exporter.go:448.3,448.28 1 0
kollab/api/internal/document/exporter.go:449.19,451.35 2 0
kollab/api/internal/document/exporter.go:451.35,453.4 1 0
kollab/api/internal/document/exporter.go:454.3,454.28 1 0
kollab/api/internal/document/exporter.go:455.30,457.48 2 0
kollab/api/internal/document/exporter.go:457.48,459.4 1 0
kollab/api/internal/document/exporter.go:460.3,461.48 2 0
kollab/api/internal/document/exporter.go:461.48,463.4 1 0
kollab/api/internal/document/exporter.go:464.3,465.52 2 0
kollab/api/internal/document/exporter.go:465.52,467.4 1 0
kollab/api/internal/document/exporter.go:468.3,469.77 1 0
kollab/api/internal/document/exporter.go:470.22,472.47 2 0
kollab/api/internal/document/exporter.go:472.47,474.4 1 0
kollab/api/internal/document/exporter.go:475.3,476.50 2 0
kollab/api/internal/document/exporter.go:476.50,478.4 1 0
kollab/api/internal/document/exporter.go:479.3,480.18 2 0
kollab/api/internal/document/exporter.go:480.18,482.4 1 0
kollab/api/internal/document/exporter.go:483.3,483.35 1 0
kollab/api/internal/document/exporter.go:483.35,485.4 1 0
kollab/api/internal/document/exporter.go:486.3,486.29 1 0
kollab/api/internal/document/exporter.go:487.22,489.47 2 0
kollab/api/internal/document/exporter.go:489.47,491.4 1 0
kollab/api/internal/document/exporter.go:492.3,493.48 2 0
kollab/api/internal/document/exporter.go:493.48,495.4 1 0
kollab/api/internal/document/exporter.go:496.3,496.104 1 0
kollab/api/internal/document/exporter.go:497.17,499.48 2 0
kollab/api/internal/document/exporter.go:499.48,501.4 1 0
kollab/api/internal/document/exporter.go:502.3,503.13 2 0
kollab/api/internal/document/exporter.go:503.13,505.4 1 0
kollab/api/internal/document/exporter.go:506.3,507.35 2 0
kollab/api/internal/document/exporter.go:507.35,509.4 1 0
kollab/api/internal/document/exporter.go:510.3,510.33 1 0
kollab/api/internal/document/exporter.go:511.24,513.35 2 0
kollab/api/internal/document/exporter.go:513.35,515.4 1 0
kollab/api/internal/document/exporter.go:516.3,516.33 1 0
kollab/api/internal/document/exporter.go:517.24,519.35 2 0
kollab/api/internal/document/exporter.go:519.35,521.4 1 0
kollab/api/internal/document/exporter.go:522.3,522.29 1 0
kollab/api/internal/document/exporter.go:523.24,524.29 1 0
kollab/api/internal/document/exporter.go:525.20,527.35 2 0
kollab/api/internal/document/exporter.go:527.35,529.4 1 0
kollab/api/internal/document/exporter.go:530.3,530.36 1 0
kollab/api/internal/document/exporter.go:531.19,532.27 1 0
kollab/api/internal/document/exporter.go:533.10,535.35 1 0
kollab/api/internal/document/exporter.go:535.35,537.4 1 0
kollab/api/internal/document/exporter.go:540.2,540.20 1 0
kollab/api/internal/document/exporter.go:544.72,559.55 7 0
kollab/api/internal/document/exporter.go:559.55,562.18 2 0
kollab/api/internal/document/exporter.go:562.18,564.5 1 0
kollab/api/internal/document/exporter.go:565.4,565.75 1 0
kollab/api/internal/document/exporter.go:568.55,574.18 2 0
kollab/api/internal/document/exporter.go:574.18,576.5 1 0
kollab/api/internal/document/exporter.go:577.4,578.14 2 0
kollab/api/internal/document/exporter.go:582.2,582.16 1 0
kollab/api/internal/document/exporter.go:582.16,584.3 1 0
kollab/api/internal/document/exporter.go:586.2,586.23 1 0
kollab/api/internal/document/exporter.go:590.66,593.46 3 0
kollab/api/internal/document/exporter.go:593.46,594.68 1 0
kollab/api/internal/document/exporter.go:594.68,597.4 2 0
kollab/api/internal/document/exporter.go:600.2,604.55 3 0
kollab/api/internal/document/exporter.go:604.55,606.17 2 0
kollab/api/internal/document/exporter.go:606.17,608.4 1 0
kollab/api/internal/document/exporter.go:609.3,610.13 2 0
kollab/api/internal/document/exporter.go:614.2,614.74 1 0
